,Movie Name,Genre,Country,Release Date,Percentage User score,Description,Movie link
2500,Smoking Causes Coughing,"['Comedy', 'Fantasy']",FR,2022-11-30,62,"After a devastating battle against a diabolical turtle, a team of five avengers — known as the ""Tobacco Force"" — is sent on a mandatory retreat to strengthen their decaying group cohesion. Their sojourn goes wonderfully well until Lézardin, Emperor of Evil, decides to annihilate planet Earth.",https://www.themoviedb.org/movie/872709-fumer-fait-tousser
2501,Around the World in 80 Days,"['Action', 'Adventure', 'Comedy']",EG,2004-09-22,59,"A bet pits a British inventor, a Chinese thief and a French artist on a worldwide adventure that they can circle the globe in 80 days.",https://www.themoviedb.org/movie/10204-around-the-world-in-80-days
2502,Dreams,"['Fantasy', 'Drama']",JP,1990-05-11,77,A collection of magical tales based upon the actual dreams of director Akira Kurosawa.,https://www.themoviedb.org/movie/12516
2503,Inu-Oh,"['Animation', 'Drama', 'Music', 'Fantasy', 'History']",JP,2022-05-28,73,"Born to an esteemed family, Inu-oh is afflicted with an ancient curse that has left him on the margins of society. When he meets the blind musician Tomona, a young biwa priest haunted by his past, Inu-oh discovers a captivating ability to dance. The pair quickly become business partners and inseparable friends as crowds flock to their electric, larger-than-life concerts. But when those in power threaten to break up the band, Inu-oh and Tomona must dance and sing to uncover the truth behind their creative gifts.",https://www.themoviedb.org/movie/642538
2504,A Thousand Words,"['Drama', 'Comedy']",US,2012-03-08,61,"Jack McCall is a fast-talking literary agent, who can close any deal, any time, any way. He has set his sights on New Age guru Dr. Sinja for his own selfish purposes. But Dr. Sinja is on to him, and Jack’s life comes unglued after a magical Bodhi tree mysteriously appears in his backyard. With every word Jack speaks, a leaf falls from the tree and he realizes that when the last leaf falls, both he and the tree are toast. Words have never failed Jack McCall, but now he’s got to stop talking and conjure up some outrageous ways to communicate or he’s a goner.",https://www.themoviedb.org/movie/72358-a-thousand-words
2505,Frida,['Documentary'],US,2024-01-18,73,"An intimately raw and magical journey through the life, mind, and heart of iconic artist Frida Kahlo. Told through her own words for the very first time — drawn from her diary, revealing letters, essays, and print interviews — and brought vividly to life by lyrical animation inspired by her unforgettable artwork.",https://www.themoviedb.org/movie/1214523-frida
2506,Airport '77,"['Action', 'Adventure', 'Drama', 'Thriller']",US,1977-03-11,56,"Flight 23 has crashed in the Bermuda Triangle after a hijacking gone wrong. Now the surviving passengers must brave panic, slow leaks, oxygen depletion, and more while attempting a daring plan, all while 200 feet underwater.",https://www.themoviedb.org/movie/7227-airport-77
2507,Shrek the Halls,"['Adventure', 'Animation', 'Comedy', 'Fantasy', 'Family']",US,2007-11-28,64,"The Christmas tree isn't the only thing green in this new holiday classic. Shrek is back and trying to get into the spirit of the season. After promising Fiona and the kids a Christmas they'll remember, he is forced to take a crash course in the holiday. But just when he thinks he has everything for their quiet family Christmas just right, there is a knock at the door.",https://www.themoviedb.org/movie/13394-shrek-the-halls
2508,The Commuter,"['Action', 'Thriller', 'Mystery']",US,2018-01-12,64,"A businessman, on his daily commute home, gets unwittingly caught up in a criminal conspiracy that threatens not only his life but the lives of those around him.",https://www.themoviedb.org/movie/399035-the-commuter
2509,Kickboxer,"['Action', 'Thriller', 'Drama']",US,1989-09-09,68,"If your enemy refuses to be humbled... Destroy him. Accompanied by his brother Kurt, American kickboxing champion Eric Sloane, arrives in Thailand to defeat the Eastern warriors at their own sport. His opponent: ruthless fighter and Thai champion, Tong Po. Tong not only defeats Eric, he paralyzes him for life. Crazed with anger, Kurt vows revenge.",https://www.themoviedb.org/movie/10222-kickboxer
2510,Kang Mak (from Pee Mak),"['Comedy', 'Horror', 'Romance', 'War']",ID,2024-08-15,85,"A young soldier returned from the battlefield with his fellow comrades. He reunited with his wife, who turned out to be a wandering spirit.",https://www.themoviedb.org/movie/1263112-kang-mak-from-pee-mak
2511,Coma,"['Thriller', 'Mystery', 'Science Fiction']",US,1978-01-06,67,A young female doctor discovers something sinister going on in her hospital. Relatively healthy patients are having 'complications' during simple operations and ending up in comas. The patients are then shipped off to an institute that looks after them. The young doctor suspects there is more to this than meets the eye.,https://www.themoviedb.org/movie/11223-coma
2512,Brothers,"['Drama', 'Thriller', 'War']",US,2009-12-02,73,"When his helicopter goes down during his fourth tour of duty in Afghanistan, Marine Sam Cahill is presumed dead. Back home, brother Tommy steps in to look over Sam’s wife, Grace, and two children. Sam’s surprise homecoming triggers domestic mayhem.",https://www.themoviedb.org/movie/7445-brothers
2513,Another 48 Hrs.,"['Thriller', 'Action', 'Comedy', 'Crime', 'Drama']",US,1990-06-08,60,"For the past four years, San Francisco cop Jack Cates has been after an unidentified drug kingpin who calls himself the Ice Man. Jack finds a picture that proves that the Ice Man has put a price on the head of Reggie Hammond, who is scheduled to be released from prison on the next day.",https://www.themoviedb.org/movie/11595-another-48-hrs
2514,Snow White and the Huntsman,"['Adventure', 'Fantasy', 'Drama']",US,2012-06-01,60,"After the Evil Queen marries the King, she performs a violent coup in which the King is murdered and his daughter, Snow White, is taken captive. Almost a decade later, a grown Snow White is still in the clutches of the Queen. In order to obtain immortality, The Evil Queen needs the heart of Snow White. After Snow escapes the castle, the Queen sends the Huntsman to find her in the Dark Forest.",https://www.themoviedb.org/movie/58595-snow-white-and-the-huntsman
2515,The Black Tulip,['Adventure'],FR,1964-02-28,63,"Aristocrat Guillaume de Saint Preux leads a double life as a masked bandit known as the Black Tulip. The Black Tulip only robs rich aristocrats, so the local peasants regard him as a hero. Baron La Mouche is convinced Guillaume is the Tulip. During a robbery, he scars the Tulip's face, and hopes to use this to expose Guillaume, but Guillaume is one step ahead.",https://www.themoviedb.org/movie/12539-la-tulipe-noire
2516,20 Days in Mariupol,"['Documentary', 'War']",US,2023-07-14,81,"As the Russian invasion begins, a team of Ukrainian journalists trapped in the besieged city of Mariupol struggle to continue their work documenting the war's atrocities.",https://www.themoviedb.org/movie/1058616-20-days-in-mariupol
2517,The Lost Lotteries,"['Crime', 'Comedy']",TH,2022-11-16,68,Five down-on-their-luck strangers must band together to steal back winning lottery tickets worth millions from a wicked mafia boss.,https://www.themoviedb.org/movie/1034337
2518,Silent Hill,"['Horror', 'Mystery']",CA,2006-04-21,66,"Rose, a desperate mother takes her adopted daughter, Sharon, to the town of Silent Hill in an attempt to cure her of her ailment. After a violent car crash, Sharon disappears and Rose begins a desperate search to get her back. She descends into the center of the twisted reality of a town's terrible secret. Pursued by grotesquely deformed creatures and townspeople stuck in permanent purgatory, Rose begins to uncover the truth behind the apocalyptic disaster that burned the town 30 years earlier.",https://www.themoviedb.org/movie/588-silent-hill
2519,Japan,"['Drama', 'Comedy', 'Crime']",IN,2023-11-09,38,"A fictionalized version of the events surrounding notorious criminal Tiruvarur Murugan, who was involved in a big jewellery shop robbery.",https://www.themoviedb.org/movie/1010805
2520,The Siren,"['Fantasy', 'Horror']",US,2019-04-11,57,"Tom, a mute man is on retreat to an isolated lakehouse where he meets Al, who is mourning the recent death of his husband. Starting off rather friendly, Tom and Al’s rapport slowly changes as the former befriends a mysterious woman named Nina, for whom Al can’t shake his negative suspicions.",https://www.themoviedb.org/movie/554917-the-siren
2521,After Porn Ends 3,['Documentary'],US,2018-10-30,55,After Porn Ends 3 continues to explore whether a career as an adult performer is inherently damaging to the balance of a perfomer's life once retired.,https://www.themoviedb.org/movie/557635-after-porn-ends-3
2522,American Pie Presents: The Naked Mile,['Comedy'],US,2006-12-21,55,"When Erik Stifler realizes that he's the only Stifler family member who might graduate high school a virgin, he decides to live up to his legacy. After some well-meaning advice from Jim's dad, Erik's ready to take his chances at the annual and infamous Naked Mile race, where his devoted friends and some uninhibited sorority girls will create the most outrageous weekend ever.",https://www.themoviedb.org/movie/8275-american-pie-presents-the-naked-mile
2523,Maleficent,"['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']",US,2014-05-30,71,"A beautiful, pure-hearted young woman, Maleficent has an idyllic life growing up in a peaceable forest kingdom, until one day when an invading army threatens the harmony of the land. She rises to be the land's fiercest protector, but she ultimately suffers a ruthless betrayal – an act that begins to turn her heart into stone. Bent on revenge, Maleficent faces an epic battle with the invading King's successor and, as a result, places a curse upon his newborn infant Aurora. As the child grows, Maleficent realizes that Aurora holds the key to peace in the kingdom – and to Maleficent's true happiness as well.",https://www.themoviedb.org/movie/102651-maleficent
2524,"Red, White & Royal Blue","['Comedy', 'Romance']",US,2023-08-10,80,"After an altercation between Alex, the president's son, and Britain's Prince Henry at a royal event becomes tabloid fodder, their long-running feud now threatens to drive a wedge in U.S./British relations. When the rivals are forced into a staged truce, their icy relationship begins to thaw and the friction between them sparks something deeper than they ever expected.",https://www.themoviedb.org/movie/930094-red-white-royal-blue
2525,Aftersun,['Drama'],US,2022-10-21,77,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between miniDV footage as she tries to reconcile the father she knew with the man she didn't.,https://www.themoviedb.org/movie/965150-aftersun
2526,Darkest Hour,"['Drama', 'History']",US,2017-11-22,74,"In May 1940, the fate of World War II hangs on Winston Churchill, who must decide whether to negotiate with Adolf Hitler or fight on knowing that it could mean the end of the British Empire.",https://www.themoviedb.org/movie/399404-darkest-hour
2527,Night Watch,"['Fantasy', 'Action', 'Thriller']",US,2006-02-17,62,"Among normal humans live the ""Others"" possessing various supernatural powers. They are divided up into the forces of light and the forces of the dark, who signed a truce several centuries ago to end a devastating battle. Ever since, the forces of light govern the day while the night belongs to their dark opponents. In modern day Moscow the dark Others actually roam the night as vampires while a ""Night Watch"" of light forces, among them Anton, the movie's protagonist, try to control them and limit their outrage",https://www.themoviedb.org/movie/3040
2528,The Married Woman,"['Drama', 'Romance']",FR,1964-12-04,70,A superifical woman finds conflict choosing between her abusive husband and her vain lover.,https://www.themoviedb.org/movie/40652-une-femme-mariee-suite-de-fragments-d-un-film-tourne-en-1964
2529,Lamb,"['Drama', 'Fantasy', 'Horror']",IS,2021-09-24,65,"An Icelandic couple live with their herd of sheep on a beautiful but remote farm. When they discover a mysterious newborn on their land, they decide to keep it and raise it as their own. This unexpected development and the prospects of a new family brings them much joy before ultimately destroying them.",https://www.themoviedb.org/movie/788929-dyrid
2530,Hero,"['Comedy', 'Drama']",US,1992-10-02,63,"Bernie Laplante is having a rough time. He's divorced, his ex-wife hates him and has custody of their son, the cops are setting a trap for him, then to top it all, he loses a shoe whilst rescuing passengers of a crashed jet. Being a thief who is down on his luck, Bernie takes advantage of the crash, but then someone else claims credit for the rescue.",https://www.themoviedb.org/movie/10699-hero
2531,Descendants,"['Family', 'Adventure', 'Fantasy', 'TV Movie']",US,2015-07-31,71,"A present-day idyllic kingdom where the benevolent teenage son of King Adam and Queen Belle offers a chance of redemption for the troublemaking offspring of Disney's classic villains: Cruella De Vil (Carlos), Maleficent (Mal), the Evil Queen (Evie) and Jafar (Jay).",https://www.themoviedb.org/movie/277217-descendants
2532,Barbie and the Three Musketeers,"['Animation', 'Family']",US,2009-09-15,73,"Corinne (Barbie) is a young country girl who heads to Paris to pursue her big dream – to become a female musketeer! Never could she imagine she would meet three other girls who secretly share the same dream! Using their special talents, the girls work together as a team to foil a plot and save the prince. It's all for one and one for all!",https://www.themoviedb.org/movie/23566-barbie-and-the-three-musketeers
2533,Female Teacher: In Front of the Students,"['Drama', 'Mystery', 'Horror']",JP,1982-04-09,68,"The lovely Reiko has taken a new teaching job at a creepy old high school.  She is an extremely attractive woman and the young students in her class have fallen for her.  One night, after tennis practice, she is brutally assaulted in the locker room shower by a man with a stocking over his face.  Left on the floor naked and in shock, she discovers a single puzzle piece left behind by the crazed man.  A few days later, a pair of students enact a perverted sexual revenge on Reiko for kicking someone off the tennis team.  Could one of these students be the man who brutalized her in the locker room?  Who owns the strange puzzle piece?  As the mystery unfolds, Reiko must come to terms with her own sexual urges and fate.",https://www.themoviedb.org/movie/173705
2534,Beethoven's 2nd,"['Family', 'Comedy']",US,1993-12-16,55,"Beethoven is back -- and this time, he has a whole brood with him now that he's met his canine match, Missy, and fathered a family. The only problem is that Missy's owner, Regina, wants to sell the puppies and tear the clan apart. It's up to Beethoven and the Newton kids to save the day and keep everyone together.",https://www.themoviedb.org/movie/10438-beethoven-s-2nd
2535,Anna,"['Action', 'Adventure', 'Thriller']",FR,2019-07-10,67,Beneath Anna Poliatova's striking beauty lies a secret that will unleash her indelible strength and skill to become one of the world's most feared government assassins.,https://www.themoviedb.org/movie/484641-anna
2536,War Dogs,"['Comedy', 'Crime', 'Drama']",EG,2021-06-11,69,"Based on the true story of two young men, David Packouz and Efraim Diveroli, who won a $300 million contract from the Pentagon to arm America's allies in Afghanistan.",https://www.themoviedb.org/movie/308266-war-dogs
2537,Demonte Colony 2,"['Horror', 'Thriller']",IN,2024-08-15,80,"A group of friends who return to a cursed location, driven by curiosity and the quest to uncover the truth behind the malevolent spirits that reside there.",https://www.themoviedb.org/movie/979250-2
2538,Munich: The Edge of War,"['Drama', 'History']",GB,2022-01-07,69,"At the tense 1938 Munich Conference, former friends who now work for opposing governments become reluctant spies racing to expose a Nazi secret.",https://www.themoviedb.org/movie/760336-munich-the-edge-of-war
2539,Garfield: A Tail of Two Kitties,"['Animation', 'Comedy', 'Family', 'Adventure', 'Drama', 'Fantasy']",EG,2006-08-23,56,"Jon and Garfield visit the United Kingdom, where a case of mistaken cat identity finds Garfield ruling over a castle. His reign is soon jeopardized by the nefarious Lord Dargis, who has designs on the estate.",https://www.themoviedb.org/movie/9513-garfield-a-tail-of-two-kitties
2540,Project A: Part II,"['Action', 'Comedy']",HK,1987-08-19,71,"Dragon is now transferred to be the police head of Sai Wan district, and has to contend with a gangster kingpin, anti-Manchu revolutionaries, some runaway pirates, Manchu Loyalists and a corrupt police superintendent.",https://www.themoviedb.org/movie/21521-a
2541,Sensual Exposure,"['Romance', 'Drama']",US,1993-01-01,66,To please her lover Kelly accepts to undergo a special education,https://www.themoviedb.org/movie/327618-sensual-exposure
2542,Chéri,"['Drama', 'Comedy', 'Romance']",GB,2009-05-08,61,The son of a courtesan retreats into a fantasy world after being forced to end his relationship with the older woman who educated him in the ways of love.,https://www.themoviedb.org/movie/22215-cheri
2543,Transformers: Beginnings,"['Animation', 'Action', 'Thriller', 'Science Fiction']",US,2007-10-16,69,"On their home planet of Cybertron, the Autobots and Decepticons are involved in an explosive battle over the coveted AllSpark. With the fate of the universe at stake, the Autobots send it far from the reaches of the ruthless Megatron, leader of the Decepticons. But there are even more surprises in store when it crash-lands on Earth.",https://www.themoviedb.org/movie/25565-transformers-beginnings
2544,Jurassic Triangle,"['Horror', 'Action', 'Science Fiction']",GB,2024-02-13,13,A group of colleagues crash land on a mysterious island that they cannot escape. They discover they are not alone when they encounter an array of blood thirsty creatures and dinosaurs out to get them. Will they survive the island?,https://www.themoviedb.org/movie/1032448-jurassic-triangle
2545,Oblivion,"['Action', 'Science Fiction', 'Adventure', 'Mystery']",US,2013-04-19,66,"Jack Harper is one of the last few drone repairmen stationed on Earth. Part of a massive operation to extract vital resources after decades of war with a terrifying threat known as the Scavs, Jack’s mission is nearly complete. His existence is brought crashing down when he rescues a beautiful  stranger from a downed spacecraft. Her arrival triggers a chain of events that  forces him to question everything he knows and puts the fate of humanity in his hands.",https://www.themoviedb.org/movie/75612-oblivion
2546,The Babysitter,"['Drama', 'Thriller']",US,1995-10-17,52,"Jennifer (Alicia Silverstone) is a lovely teen who has been hired to baby-sit the kids of Harry Tucker (J.T. Walsh) and his wife, Dolly (Lee Garlington). The Tuckers go to a party and proceed to get inebriated, with Mr. Tucker fantasizing about his beautiful baby sitter. Meanwhile, Jack (Jeremy London), her boyfriend, and Mark (Nicky Katt), another guy interested in her, decide to spy on Jennifer at the Tucker house, with each young man also fixated on her.",https://www.themoviedb.org/movie/37141-the-babysitter
2547,CJ7,"['Comedy', 'Drama', 'Family', 'Fantasy', 'Science Fiction']",CN,2008-01-30,74,"A poor construction worker, who struggles to keep his son in private school, mistakes an orb he finds in a junkjard for a toy which proves to be much, much more once the young boy starts to play with it.",https://www.themoviedb.org/movie/13688
2548,Shoplifters,"['Drama', 'Crime', 'Thriller']",EG,2018-09-24,79,"After one of their shoplifting sessions, Osamu and his son come across a little girl in the freezing cold. At first reluctant to shelter the girl, Osamu’s wife agrees to take care of her after learning of the hardships she faces. Although the family is poor, barely making enough money to survive through petty crime, they seem to live happily together until an unforeseen incident reveals hidden secrets, testing the bonds that unite them.",https://www.themoviedb.org/movie/505192
2549,365 Days,"['Romance', 'Drama']",PL,2020-02-07,70,"A woman falls victim to a dominant mafia boss, who imprisons her and gives her one year to fall in love with him.",https://www.themoviedb.org/movie/664413-365-dni
2550,A Werewolf Boy,"['Romance', 'Fantasy']",KR,2012-10-31,76,"An unexpected phone call brings an elderly woman to her childhood country cottage, and memories of an orphan boy she knew 47 years ago come flooding back to her.",https://www.themoviedb.org/movie/128246
2551,Fantastic Mr. Fox,"['Adventure', 'Animation', 'Comedy', 'Family']",US,2009-11-13,78,"The Fantastic Mr. Fox, bored with his current life, plans a heist against the three local farmers. The farmers, tired of sharing their chickens with the sly fox, seek revenge against him and his family.",https://www.themoviedb.org/movie/10315-fantastic-mr-fox
2552,I Saw the TV Glow,"['Horror', 'Drama']",US,2024-05-03,60,"Teenager Owen is just trying to make it through life in the suburbs when his classmate Maddy introduces him to a mysterious late-night TV show — a vision of a supernatural world beneath their own. In the pale glow of the television, Owen’s view of reality begins to crack.",https://www.themoviedb.org/movie/858017-i-saw-the-tv-glow
2553,Morning Moon Is Cruel,['Drama'],JP,1981-06-21,30,ليس لدينا نظرة عامة مترجمة باللغة الإنجليزية. ساعدنا في توسيع قاعدة البيانات الخاصة بنا عن طريق إضافة واحدة.,https://www.themoviedb.org/movie/585534
2554,The Eternal Memory,['Documentary'],US,2023-08-11,82,"Augusto and Paulina have been together for 25 years. Eight years ago, he was diagnosed with Alzheimer's disease. Both fear the day he no longer recognizes her.",https://www.themoviedb.org/movie/1032760-la-memoria-infinita
2555,Max 2: White House Hero,['Family'],US,2017-05-05,70,"Max is assigned to the White House while Butch, the secret service dog, is on maternity leave. He meets TJ, a 12 year old boy, who is the President's son. Due to his father's high profile, he is trying hard to fit in and lead a normal life. During a state visit by the Russian President and his daughter, Alexandra (Alex), TJ is asked to accompany her, during their stay. TJ befriends Alex, but when they get into trouble, Max comes to the rescue!",https://www.themoviedb.org/movie/446829-max-2-white-house-hero
2556,My Penguin Friend,"['Family', 'Drama', 'Adventure']",US,2024-08-16,0,"Inspired by a true story; an enchanting adventure about a lost penguin rescued from an oil spill, who transforms the life of a heartbroken fisherman. They soon become unlikely friends, so bonded that even the vast ocean cannot divide them.",https://www.themoviedb.org/movie/1159799-my-penguin-friend
2557,Indestructible,"['Documentary', 'Drama']",BR,2022-12-02,0,"He is a sensitive boy who represses his true personality. After experiencing traumatic experiences, our protagonist begins to open to the world on a journey that made him the person who is. This is not the complete story, but shows a trajectory of overcoming and change.",https://www.themoviedb.org/movie/1034317-indestrutivel
2558,Turbo: A Power Rangers Movie,"['Action', 'Adventure', 'Family', 'Fantasy', 'Science Fiction']",US,1997-03-27,57,"The legendary Power Rangers must stop the evil space pirate Divatox from releasing the powerful Maligore from his volcanic imprisonment on the island of Muranthias, where only the kindly wizard Lerigot has the key to release him. The hope of victory lies in the Ranger's incredible new Turbo powers and powerful Turbo Zords.",https://www.themoviedb.org/movie/6499-turbo-a-power-rangers-movie
2559,The Guns of Navarone,"['War', 'Adventure', 'Thriller', 'Action']",GB,1961-04-27,73,"A team of allied saboteurs are assigned an impossible mission: infiltrate an impregnable Nazi-held island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped British soldiers.",https://www.themoviedb.org/movie/10911-the-guns-of-navarone
2560,Wonder Woman: Bloodlines,"['Science Fiction', 'Animation']",US,2019-10-04,69,"Witness the legendary origin of renowned Justice League member Wonder Woman as she fights for good with her sword and magic lasso. Equally strong in body, heart and will, she makes it her mission to help a troubled young girl enlisted by a deadly organization known as Villainy, Inc., whose criminal members have their sights set on invading Themyscira, Wonder Woman’s paradise home. The battle will be epic, because if there's one thing an Amazon knows, it’s war!",https://www.themoviedb.org/movie/537055-wonder-woman-bloodlines
2561,Frankenstein,"['Drama', 'Horror', 'Science Fiction']",US,1931-11-21,75,"Tampering with life and death, Henry Frankenstein pieces together salvaged body parts to bring a human monster to life; the mad scientist's dreams are shattered by his creation's violent rage as the monster awakens to a world in which he is unwelcome.",https://www.themoviedb.org/movie/3035-frankenstein
2562,Magic Camp,"['Family', 'Fantasy', 'Comedy']",US,2020-08-14,69,"Andy, at the urging of his former mentor and Magic Camp owner Roy Preston, returns to the camp of his youth hoping to reignite his career. Instead, he finds inspiration in his ragtag bunch of rookie magicians.",https://www.themoviedb.org/movie/454433-magic-camp
2563,The Perks of Being a Wallflower,['Drama'],US,2012-09-21,78,"Pittsburgh, Pennsylvania, 1991. High school freshman Charlie is a wallflower, always watching life from the sidelines, until two senior students, Sam and her stepbrother Patrick, become his mentors, helping him discover the joys of friendship, music and love.",https://www.themoviedb.org/movie/84892-the-perks-of-being-a-wallflower
2564,Princess Protection Program,"['Family', 'TV Movie', 'Comedy']",US,2009-06-26,66,"When her nation is invaded, a young princess is taken into the Princess Protection Program. She is relocated to Louisiana, where she stays with a covert agent and his tomboyish daughter, and must learn how to behave like an ordinary teenager.",https://www.themoviedb.org/movie/19458-princess-protection-program
2565,Oldboy,"['Drama', 'Thriller', 'Mystery', 'Action']",US,2013-11-27,59,A man has only three and a half days and limited resources to discover why he was imprisoned in a nondescript room for 20 years without any explanation.,https://www.themoviedb.org/movie/87516-oldboy
2566,Naruto the Movie: Guardians of the Crescent Moon Kingdom,"['Adventure', 'Animation', 'Action']",JP,2006-08-05,71,"Naruto Uzumaki, Kakashi Hatake, Sakura Haruno, and Rock Lee are assigned to protect the prince of the Land of the Moon, Michiru, during his world trip; other escorts had been hired, but quit due to being treated poorly. The Land of the Moon is a very wealthy nation, so Michiru tends to buy whatever he wants, and has a very materialistic worldview. His Hikaru, also acts in much the same manner.",https://www.themoviedb.org/movie/18861-naruto
2567,Special Forces,"['Action', 'Drama', 'War']",FR,2011-11-02,67,"Afghanistan. War correspondent Elsa Casanova is taken hostage by the Taliban. Faced with her imminent execution, a Special Forces unit is dispatched to free her. In some of the world’s most breathtaking yet hostile landscapes, a relentless pursuit begins between her kidnappers who have no intention of letting their prey escape them and a group of soldiers who risk their lives in pursuit of their single aim – to bring her home alive. This strong, independent woman and these men of duty are thrown together and forced to confront situations of great danger that inextricably bind them – emotionally, violently and intimately.",https://www.themoviedb.org/movie/74513-forces-speciales
2568,Some Like It Hot,"['Comedy', 'Romance', 'Crime']",US,1959-03-19,81,"Two musicians witness a mob hit and struggle to find a way out of the city before they are found by the gangsters. Their only opportunity is to join an all-girl band as they leave on a tour. To make their getaway they must first disguise themselves as women, then keep their identities secret and deal with the problems this brings - such as an attractive bandmate and a very determined suitor.",https://www.themoviedb.org/movie/239-some-like-it-hot
2569,Akron,"['Romance', 'Drama']",US,2015-10-06,73,"Benny, a college freshman at the University of Akron, Ohio meets and falls for fellow freshman Christopher at a football game. With the support of their families and friends they embark on a new relationship. But a tragic event in the past involving their mothers soon comes to light and threatens to tear them apart.",https://www.themoviedb.org/movie/361018-akron
2570,Imperium,"['Crime', 'Drama']",US,2016-08-19,65,"Nate Foster, a young, idealistic FBI agent, goes undercover to take down a radical white supremacy terrorist group. The bright up-and-coming analyst must confront the challenge of sticking to a new identity while maintaining his real principles as he navigates the dangerous underworld of white supremacy. Inspired by real events.",https://www.themoviedb.org/movie/374617-imperium
2571,Bones of Crows,"['Drama', 'History']",CA,2023-06-02,77,"Cree matriarch Aline Spears survives a childhood in Canada’s residential school system to continue her family’s generational fight in the face of systemic starvation, racism, and sexual abuse. She uses her uncanny ability to understand and translate codes into working for a special division of the Canadian Air Force as a Cree code talker in World War II. The story unfolds over 100 years with a cumulative force that propels us into the future.",https://www.themoviedb.org/movie/1005814-bones-of-crows
2572,Happy Gilmore,['Comedy'],US,1996-02-16,66,"Failed hockey player-turned-golf whiz Happy Gilmore -- whose unconventional approach and antics on the grass courts the ire of rival Shooter McGavin -- is determined to win a PGA tournament so he can save his granny's house with the prize money. Meanwhile, an attractive tour publicist tries to soften Happy's image.",https://www.themoviedb.org/movie/9614-happy-gilmore
2573,Tequila Sunrise,"['Thriller', 'Crime', 'Romance']",US,1988-12-02,60,"In a seaside California town, best friends Mac and Nick are on opposite sides of the law. Mac is a former drug dealer trying to clean up his act, while Nick is a high-profile detective trying to take down a Mexican drug lord named Carlos. Soon Nick's loyalties are put to the test when he begins an affair with restaurateur Jo Ann  -- a love interest of Mac's -- unwittingly leading his friend into a police-orchestrated trap.",https://www.themoviedb.org/movie/10396-tequila-sunrise
2574,The Highwaymen,"['Crime', 'Drama', 'Thriller']",US,2019-03-15,68,"In 1934, Frank Hamer and Manny Gault, two former Texas Rangers, are commissioned to put an end to the wave of vicious crimes perpetrated by Bonnie Parker and Clyde Barrow, a notorious duo of infamous robbers and cold-blooded killers who nevertheless are worshiped by the public.",https://www.themoviedb.org/movie/500682-the-highwaymen
2575,The Breakfast Club,"['Comedy', 'Drama']",US,1985-02-15,77,"Five high school students from different walks of life endure a Saturday detention under a power-hungry principal. The disparate group includes rebel John, princess Claire, outcast Allison, brainy Brian and Andrew, the jock. Each has a chance to tell his or her story, making the others see them a little differently -- and when the day ends, they question whether school will ever be the same.",https://www.themoviedb.org/movie/2108-the-breakfast-club
2576,The Star of Cottonland,"['Animation', 'Fantasy', 'Romance']",JP,1984-02-11,58,"After two-month-old kitten Chibi-neko is abandoned by her former owners, she is found by 18-year-old Tokio. Although his mother is allergic to cats and has a great fear of them, she agrees to let him keep the kitten because she fears he is becoming too withdrawn after failing his university entrance exams. Chibi-neko soon falls in love with Tokio.  In her own mind, Chibi-neko is a small human who speaks in human words, although people only ever seem to hear her meow, and she believes that all humans were once kittens like her. A stray cat tells Chibi-neko of a paradise called Cottonland, where dreams can come true.",https://www.themoviedb.org/movie/256838
2577,The Muppet Movie,"['Comedy', 'Adventure', 'Music', 'Family']",US,1979-06-22,72,A Hollywood agent persuades Kermit the Frog to pursue a career in Hollywood. On his way there he meets his future muppet crew while being chased by the desperate owner of a frog-leg restaurant!,https://www.themoviedb.org/movie/11176-the-muppet-movie
2578,Intruders,"['Thriller', 'Horror', 'Fantasy']",CA,2011-09-12,55,"Though no one can see him, Hollow Face lurks in the corners, desperately desiring love but only knowing how to spread fear and hate. He creeps into the life of John Farrow after Farrow’s beloved 13-year-old daughter Mia is assaulted in their home. The line between the real and the imaginary blurs as fissures start to open within the family unit. It seems that no security measure can keep Hollow Face out.",https://www.themoviedb.org/movie/63207-intruders
2579,Minions,"['Family', 'Animation', 'Adventure', 'Comedy']",US,2015-07-10,64,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",https://www.themoviedb.org/movie/211672-minions
2580,The Fog,"['Horror', 'Thriller', 'Drama', 'Mystery']",US,2005-10-14,45,"Trapped within an eerie mist, the residents of Antonio Bay have become the unwitting victims of a horrifying vengeance. One hundred years earlier, a ship carrying lepers was purposely lured onto the rocky coastline and sank, drowning all aboard. Now they're back – long-dead mariners who've waited a century for their revenge.",https://www.themoviedb.org/movie/791-the-fog
2581,Alien,['Science Fiction'],LB,2017-05-16,61,ليس لدينا نظرة عامة مترجمة باللغة الإنجليزية. ساعدنا في توسيع قاعدة البيانات الخاصة بنا عن طريق إضافة واحدة.,https://www.themoviedb.org/movie/817189-alien
