,Movie Name,Genre,Country,Release Date,Percentage User score,Description,Movie link
22,Winnie the Pooh,"['Animation', 'Family', 'Comedy', 'Adventure']",US,2011-07-15,69,"During an ordinary day in Hundred Acre Wood, Winnie the Pooh sets out to find some honey. Misinterpreting a note from Christopher Robin, Owl convinces Pooh, Tigger, Rabbit, Piglet, Kanga, Roo, and Eeyore that their young friend has been captured by a creature named ""Backson"" and they set out to rescue him.",https://www.themoviedb.org/movie/51162-winnie-the-pooh
23,Smile,"['Horror', 'Mystery', 'Thriller']",EG,2022-09-28,67,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain.",https://www.themoviedb.org/movie/882598-smile
24,"God, Sex and Truth",['Romance'],US,2018-01-27,65,"'God, Sex and Truth' delves into the world of sex where it digs out and projects the deepest dignity, divinity of the act and a women's true purpose of her sexuality.",https://www.themoviedb.org/movie/501190-god-sex-and-truth
25,The 100 Candles Game: The Last Possession,['Horror'],UY,2023-11-09,64,Sequel to The 100 Candles Game (2020).,https://www.themoviedb.org/movie/1211728-the-100-candles-game-the-last-possession
26,Scream VI,"['Horror', 'Crime', 'Thriller']",US,2023-03-10,71,"Following the latest Ghostface killings, the four survivors leave Woodsboro behind and start a fresh chapter.",https://www.themoviedb.org/movie/934433-scream-vi
27,You're Next,"['Horror', 'Thriller', 'Mystery']",US,2013-08-23,66,"When the Davison family comes under attack during their wedding anniversary getaway, the gang of mysterious killers soon learns that one of their victims harbors a secret talent for fighting back.",https://www.themoviedb.org/movie/83899-you-re-next
28,Milikᵘ tshishutshelimunuau,['Documentary'],CA,2022-06-06,60,The journey of a young candidate running in the Pessamit community band council elections.,https://www.themoviedb.org/movie/1037417-milik-tshishutshelimunuau
29,Observation Man,"['Drama', 'Romance']",KR,2019-07-25,90,"Newly married couple Eun-mi and Seong-soo look ordinary, but they both have their own secrets. Eun-mi enjoys calling her boyfriend to her home while her husband is away on work and Sung-soo enjoys watching his wife have sex with other men through the CCTV in his house. Not being able to get over the excitement he feels by doing that, he tells his wife everything and suggests she has sex with another man again...",https://www.themoviedb.org/movie/684501
30,The Money Pit,"['Comedy', 'Romance']",US,1986-03-26,65,"After being evicted from their Manhattan apartment, a couple buy what looks like the home of their dreams—only to find themselves saddled with a bank-account-draining nightmare. Struggling to keep their relationship together as their rambling mansion falls to pieces around them, the two watch in hilarious horror as everything—including the kitchen sink—disappears into the Money Pit.",https://www.themoviedb.org/movie/10466-the-money-pit
31,Marvel Studios Assembled: The Making of Black Panther: Wakanda Forever,['Documentary'],US,2023-02-08,68,"Follow the production of “Black Panther: Wakanda Forever” as the cast and crew take on the incredible challenge of remembering T’Challa with a chapter befitting the late king. Through intimate behind-the-scenes footage and interviews, watch Shuri take on the mantel of Wakanda’s hero and face a new foe from the ocean’s depths in Namor.",https://www.themoviedb.org/movie/1076032-marvel-studios-assembled-the-making-of-black-panther-wakanda-forever
32,Who Finds a Friend Finds a Treasure,"['Action', 'Adventure', 'Comedy']",IT,1981-12-09,69,"Alan gets a map to some war treasure which the Japanese army left behind on a small Pacific island at the end of World War II. But some gangsters try to steal the map from him and so he hides on Charlie's boat which just leaves the harbor. He manipulates the ship's compass so that Charlie is not aware that he is sailing to the treasure island. But when they step on the island, they discover that it is not as abandoned as they believed: there are some natives - and a Japanese soldier still defending the treasure",https://www.themoviedb.org/movie/6399-chi-trova-un-amico-trova-un-tesoro
33,I Am: Celine Dion,"['Documentary', 'Music']",US,2024-06-21,79,"A raw and honest behind-the-scenes look at the iconic superstar's struggle with a life-altering illness. Serving as a love letter to her fans, this inspirational documentary highlights the music that has guided her life while also showcasing the resilience of the human spirit.",https://www.themoviedb.org/movie/879805-i-am-celine-dion
34,Lucy,"['Action', 'Science Fiction']",FR,2014-08-06,65,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.",https://www.themoviedb.org/movie/240832-lucy
35,The Imaginary,"['Animation', 'Adventure', 'Drama', 'Family', 'Fantasy']",JP,2023-12-15,82,"Amanda and her imaginary friend Rudger go on thrilling make-believe adventures. But when Rudger finds himself alone, he faces a mysterious threat.",https://www.themoviedb.org/movie/913001
36,Wild Things 2,"['Crime', 'Drama', 'Mystery']",US,2004-03-06,52,"Two Florida high school vixens hatch a murderous plan to win an inheritance, but they hadn't bargained for an escalating whirlpool of blackmail and sexual games with a sleazy insurance investigator who has his own plans for the money.",https://www.themoviedb.org/movie/10367-wild-things-2
37,The Natural,['Drama'],US,1984-05-11,69,An unknown middle-aged batter named Roy Hobbs with a mysterious past appears out of nowhere to take a losing 1930s baseball team to the top of the league.,https://www.themoviedb.org/movie/11393-the-natural
